logstore	projectname	SQL
happigo-application	EC.Consumer.AuthLog.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.AuthLog.Task');"
happigo-application	EC.Consumer.MallAuth.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.MallAuth.Task');"
happigo-application	EC.Consumer.NewMemberAward.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.NewMemberAward.Task');"
happigo-application	EC.Consumer.OrderChangeNotify.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.OrderChangeNotify.Task');"
happigo-application	EC.Consumer.PreawardVoucher.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.PreawardVoucher.Task');"
happigo-application	EC.Consumer.WeixinMessage.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Consumer.WeixinMessage.Task');"
happigo-application	EC.GroupPurchase.GoodsState.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.GroupPurchase.GoodsState.task');"
happigo-application	EC.GroupPurchase.Order.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.GroupPurchase.Order.task');"
happigo-application	EC.MemberOrderStatus.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.MemberOrderStatus.task');"
happigo-application	EC.MemberRedListSync.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.MemberRedListSync.task');"
happigo-application	EC.OrderDeliver.OrderInfoUp20.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderDeliver.OrderInfoUp20.task');"
happigo-application	EC.OrderDeliver.OrderInfoUp30.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderDeliver.OrderInfoUp30.task');"
happigo-application	EC.OrderDeliver.OrderInfoUpInfo.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderDeliver.OrderInfoUpInfo.task');"
happigo-application	EC.OrderRewardVoucher.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderRewardVoucher.task');"
happigo-application	EC.OrderTuotou.bbc.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderTuotou.bbc.task');"
happigo-application	EC.OrderTuotou.isown.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.OrderTuotou.isown.task');"
happigo-application	EC.PaymentCheck.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.PaymentCheck.Task');"
happigo-application	EC.Presale.DataProcessing.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Presale.DataProcessing.task');"
happigo-application	EC.Presale.Refund.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Presale.Refund.task');"
happigo-application	EC.RecommendStoreGoods.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.RecommendStoreGoods.task');"
happigo-application	EC.ReturnOrder.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.ReturnOrder.task');"
happigo-application	EC.ShoppingCartPriceNotice.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.ShoppingCartPriceNotice.task');"
happigo-application	EC.StoreVoucherCountSyc.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.StoreVoucherCountSyc.task');"
happigo-application	EC.Task.WeixinSaveDataManagement	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Task.WeixinSaveDataManagement');"
happigo-application	EC.Voucher.ExpirNotice.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Voucher.ExpirNotice.task');"
happigo-application	EC.Voucher.NoticePush.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Voucher.NoticePush.task');"
happigo-application	EC.Voucher.NoticeSms.task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'EC.Voucher.NoticeSms.task');"
happigo-application	Ec.Admin.OrderCancel.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Admin.OrderCancel.Api');"
happigo-application	Ec.BlackList.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.BlackList.Api');"
happigo-application	Ec.Distribution.Activation.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Distribution.Activation.Task');"
happigo-application	Ec.Distribution.Change.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Distribution.Change.Task');"
happigo-application	Ec.Goods.Live.Sync.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Goods.Live.Sync.Task');"
happigo-application	Ec.GroupPurchase.OrderStatus.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.GroupPurchase.OrderStatus.Api');"
happigo-application	Ec.IpAbnormal.Add.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.IpAbnormal.Add.Api');"
happigo-application	Ec.IpAbnormal.Log.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.IpAbnormal.Log.Api');"
happigo-application	Ec.NewFansredGifts.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.NewFansredGifts.Api');"
happigo-application	Ec.Order.Audit.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Audit.Task');"
happigo-application	Ec.Order.Determine.Jd.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Determine.Jd.Task');"
happigo-application	Ec.Order.Push.Homa.Task1	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task1');"
happigo-application	Ec.Order.Push.Homa.Task10	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task10');"
happigo-application	Ec.Order.Push.Homa.Task2	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task2');"
happigo-application	Ec.Order.Push.Homa.Task3	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task3');"
happigo-application	Ec.Order.Push.Homa.Task4	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task4');"
happigo-application	Ec.Order.Push.Homa.Task5	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task5');"
happigo-application	Ec.Order.Push.Homa.Task6	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task6');"
happigo-application	Ec.Order.Push.Homa.Task7	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task7');"
happigo-application	Ec.Order.Push.Homa.Task8	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task8');"
happigo-application	Ec.Order.Push.Homa.Task9	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Homa.Task9');"
happigo-application	Ec.Order.Push.Jd.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Jd.Task');"
happigo-application	Ec.Order.Push.Wy.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Order.Push.Wy.Task');"
happigo-application	Ec.OrderShare.GiveGifts.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.GiveGifts.Api');"
happigo-application	Ec.OrderShare.ParticipateGifts.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.ParticipateGifts.Api');"
happigo-application	Ec.OrderShare.ParticipateSetting.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.ParticipateSetting.Api');"
happigo-application	Ec.OrderShare.Setting.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.OrderShare.Setting.Api');"
happigo-application	Ec.Points.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Points.Api');"
happigo-application	Ec.Presale.OrderSave.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Presale.OrderSave.Api');"
happigo-application	Ec.Price.Sync.Jd.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Price.Sync.Jd.Task');"
happigo-application	Ec.Refund.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Refund.Task');"
happigo-application	Ec.Stock.Sync.Live.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Stock.Sync.Live.Task');"
happigo-application	Ec.Stock.Sync.Normal.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Stock.Sync.Normal.Task');"
happigo-application	Ec.ToErp.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.ToErp.Api');"
happigo-application	Ec.Voucher.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Api');"
happigo-application	Ec.Voucher.Exchange.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Exchange.Api');"
happigo-application	Ec.Voucher.Preaward.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Preaward.Api');"
happigo-application	Ec.Voucher.Redeem.Api	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.Voucher.Redeem.Api');"
happigo-application	Ec.order.Cancel.Task	"INSERT INTO log_monitor_projectname (logstore, projectname) VALUES ('happigo-application', 'Ec.order.Cancel.Task');"
